ID,Arenas,Artist,Aspects,BackArt,BackText,Cost,DoubleSided,EpicAction,FoilPrice,FrontArt,FrontText,HP,Keywords,LowFoilPrice,LowPrice,MarketPrice,Name,Number,Power,Rarity,Set,Subtitle,Traits,Type,Unique,VariantType
JTL-005,Ground,David Buisan,Command;Villainy,https://cdn.swu-db.com/images/cards/JTL/005-b.png,Each Capital Ship unit you play costs 2 less.,5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/005.png,Action [Exhaust]: Play a Capital Ship unit from your hand. It costs 1 less.,7,,,0.04,0.20,Admiral Piett,005,2,Rare,JTL,Commanding the Armada,IMPERIAL;OFFICIAL,Leader,True,Normal
JTL-1001,Ground,David Buisan,Command;Villainy,https://cdn.swu-db.com/images/cards/JTL/1001-b.png,Each Capital Ship unit you play costs 2 less.,5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/1001.png,Action [Exhaust]: Play a Capital Ship unit from your hand. It costs 1 less.,7,,,124.50,139.56,Admiral Piett,1001,2,Rare,JTL,Commanding the Armada,IMPERIAL;OFFICIAL,Leader,True,Showcase
JTL-267,Ground,David Buisan,Command;Villainy,https://cdn.swu-db.com/images/cards/JTL/267-b.png,Each Capital Ship unit you play costs 2 less.,5,True,"Epic Action: If you control 5 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/267.png,Action [Exhaust]: Play a Capital Ship unit from your hand. It costs 1 less.,7,,,0.25,0.37,Admiral Piett,267,2,Rare,JTL,Commanding the Armada,IMPERIAL;OFFICIAL,Leader,True,Hyperspace
JTL-014,Ground,Omercan Cirit,Cunning;Villainy,https://cdn.swu-db.com/images/cards/JTL/014-b.png,When Deployed: Reveal the top 4 cards of your deck. An opponent discards 2 of them. Draw 1 of the remaining cards and discard the other.,6,True,"Action [C=3, Exhaust]: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/014.png,"Action [Exhaust]: Discard a card that costs 3 or more from your hand. If you do, draw a card.",5,,,0.01,0.11,Admiral Trench,014,4,Rare,JTL,chk-chk-chk-chk,SEPARATIST;OFFICIAL,Leader,True,Normal
JTL-1010,Ground,Omercan Cirit,Cunning;Villainy,https://cdn.swu-db.com/images/cards/JTL/1010-b.png,When Deployed: Reveal the top 4 cards of your deck. An opponent discards 2 of them. Draw 1 of the remaining cards and discard the other.,6,True,"Action [C=3, Exhaust]: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/1010.png,"Action [Exhaust]: Discard a card that costs 3 or more from your hand. If you do, draw a card.",5,,,80.00,53.50,Admiral Trench,1010,4,Rare,JTL,chk-chk-chk-chk,SEPARATIST;OFFICIAL,Leader,True,Showcase
JTL-276,Ground,Omercan Cirit,Cunning;Villainy,https://cdn.swu-db.com/images/cards/JTL/276-b.png,When Deployed: Reveal the top 4 cards of your deck. An opponent discards 2 of them. Draw 1 of the remaining cards and discard the other.,6,True,"Action [C=3, Exhaust]: If you control 6 or more resources, deploy this leader.",,https://cdn.swu-db.com/images/cards/JTL/276.png,"Action [Exhaust]: Discard a card that costs 3 or more from your hand. If you do, draw a card.",5,,,0.08,0.23,Admiral Trench,276,4,Rare,JTL,chk-chk-chk-chk,SEPARATIST;OFFICIAL,Leader,True,Hyperspace
JTL-047,Ground,Ario Murti,Vigilance;Heroism,,,3,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/047.png,"When Played: Choose Grit, Restore 1, Sentinel, or Shielded. While this unit is in play, each friendly Vehicle unit gains the chosen Keyword.",5,Grit;Keyword;Restore;Sentinel;Shielded,,0.23,0.55,Admiral Yularen,047,1,Rare,JTL,Fleet Coordinator,REPUBLIC;OFFICIAL,Unit,True,Normal
JTL-309,Ground,Ario Murti,Vigilance;Heroism,,,3,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/309.png,"When Played: Choose Grit, Restore 1, Sentinel, or Shielded. While this unit is in play, each friendly Vehicle unit gains the chosen Keyword.",5,Grit;Keyword;Restore;Sentinel;Shielded,,0.75,0.97,Admiral Yularen,309,1,Rare,JTL,Fleet Coordinator,REPUBLIC;OFFICIAL,Unit,True,Hyperspace
JTL-545,Ground,Ario Murti,Vigilance;Heroism,,,3,False,,2.90,https://cdn.swu-db.com/images/cards/JTL/545.png,"When Played: Choose Grit, Restore 1, Sentinel, or Shielded. While this unit is in play, each friendly Vehicle unit gains the chosen Keyword.",5,Grit;Keyword;Restore;Sentinel;Shielded,0.25,,0.35,Admiral Yularen,545,1,Rare,JTL,Fleet Coordinator,REPUBLIC;OFFICIAL,Unit,True,Foil
JTL-781,Ground,Ario Murti,Vigilance;Heroism,,,3,False,,10.00,https://cdn.swu-db.com/images/cards/JTL/781.png,"When Played: Choose Grit, Restore 1, Sentinel, or Shielded. While this unit is in play, each friendly Vehicle unit gains the chosen Keyword.",5,Grit;Keyword;Restore;Sentinel;Shielded,1.57,,2.67,Admiral Yularen,781,1,Rare,JTL,Fleet Coordinator,REPUBLIC;OFFICIAL,Unit,True,Hyperspace Foil
JTL-201,Ground,David Buisan,Cunning;Heroism,,,4,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/201.png,"When Played: An opponent discards a card from their hand. If it's a unit, you may exhaust a unit.",5,,,4.35,5.42,Ahsoka Tano,201,3,Rare,JTL,Chasing Whispers,FRINGE;FORCE,Unit,True,Normal
JTL-463,Ground,David Buisan,Cunning;Heroism,,,4,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/463.png,"When Played: An opponent discards a card from their hand. If it's a unit, you may exhaust a unit.",5,,,6.60,7.04,Ahsoka Tano,463,3,Rare,JTL,Chasing Whispers,FRINGE;FORCE,Unit,True,Hyperspace
JTL-699,Ground,David Buisan,Cunning;Heroism,,,4,False,,4.61,https://cdn.swu-db.com/images/cards/JTL/699.png,"When Played: An opponent discards a card from their hand. If it's a unit, you may exhaust a unit.",5,,4.15,,4.91,Ahsoka Tano,699,3,Rare,JTL,Chasing Whispers,FRINGE;FORCE,Unit,True,Foil
JTL-935,Ground,David Buisan,Cunning;Heroism,,,4,False,,8.99,https://cdn.swu-db.com/images/cards/JTL/935.png,"When Played: An opponent discards a card from their hand. If it's a unit, you may exhaust a unit.",5,,10.00,,12.13,Ahsoka Tano,935,3,Rare,JTL,Chasing Whispers,FRINGE;FORCE,Unit,True,Hyperspace Foil
JTL-125,,Kyle Petchock,Command,,,0,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/125.png,"If you control more space units than an opponent, deal 4 damage to a ground unit that opponent controls.",,,,0.03,0.12,Air Superiority,125,,Common,JTL,,TACTIC,Event,False,Normal
JTL-387,,Kyle Petchock,Command,,,0,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/387.png,"If you control more space units than an opponent, deal 4 damage to a ground unit that opponent controls.",,,,0.08,0.21,Air Superiority,387,,Common,JTL,,TACTIC,Event,False,Hyperspace
JTL-623,,Kyle Petchock,Command,,,0,False,,0.79,https://cdn.swu-db.com/images/cards/JTL/623.png,"If you control more space units than an opponent, deal 4 damage to a ground unit that opponent controls.",,,0.05,,0.15,Air Superiority,623,,Common,JTL,,TACTIC,Event,False,Foil
JTL-859,,Kyle Petchock,Command,,,0,False,,3.60,https://cdn.swu-db.com/images/cards/JTL/859.png,"If you control more space units than an opponent, deal 4 damage to a ground unit that opponent controls.",,,0.10,,0.31,Air Superiority,859,,Common,JTL,,TACTIC,Event,False,Hyperspace Foil
JTL-122,,JB Casacop,Command,,,0,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/122.png,"Exhaust up to 2 friendly space units. For each unit exhausted this way, create an X-Wing token.",,,,0.03,0.08,All Wings Report In,122,,Common,JTL,,PLAN,Event,False,Normal
JTL-384,,JB Casacop,Command,,,0,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/384.png,"Exhaust up to 2 friendly space units. For each unit exhausted this way, create an X-Wing token.",,,,0.06,0.17,All Wings Report In,384,,Common,JTL,,PLAN,Event,False,Hyperspace
JTL-620,,JB Casacop,Command,,,0,False,,0.50,https://cdn.swu-db.com/images/cards/JTL/620.png,"Exhaust up to 2 friendly space units. For each unit exhausted this way, create an X-Wing token.",,,0.05,,0.15,All Wings Report In,620,,Common,JTL,,PLAN,Event,False,Foil
JTL-856,,JB Casacop,Command,,,0,False,,4.65,https://cdn.swu-db.com/images/cards/JTL/856.png,"Exhaust up to 2 friendly space units. For each unit exhausted this way, create an X-Wing token.",,,0.15,,0.37,All Wings Report In,856,,Common,JTL,,PLAN,Event,False,Hyperspace Foil
JTL-133,Ground,Tatsiana Maksimuk,Aggression;Villainy,,,2,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/133.png,"When indirect damage is dealt to a unit: You may defeat a non-unique upgrade on it.
On Attack: If you have the initiative, deal 2 indirect damage to a player.",3,,,1.00,1.51,Allegiant General Pryde,133,2,Rare,JTL,Ruthless and Loyal,FIRST ORDER;OFFICIAL,Unit,True,Normal
JTL-395,Ground,Tatsiana Maksimuk,Aggression;Villainy,,,2,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/395.png,"When indirect damage is dealt to a unit: You may defeat a non-unique upgrade on it.
On Attack: If you have the initiative, deal 2 indirect damage to a player.",3,,,2.74,3.52,Allegiant General Pryde,395,2,Rare,JTL,Ruthless and Loyal,FIRST ORDER;OFFICIAL,Unit,True,Hyperspace
JTL-631,Ground,Tatsiana Maksimuk,Aggression;Villainy,,,2,False,,2.45,https://cdn.swu-db.com/images/cards/JTL/631.png,"When indirect damage is dealt to a unit: You may defeat a non-unique upgrade on it.
On Attack: If you have the initiative, deal 2 indirect damage to a player.",3,,0.74,,1.18,Allegiant General Pryde,631,2,Rare,JTL,Ruthless and Loyal,FIRST ORDER;OFFICIAL,Unit,True,Foil
JTL-867,Ground,Tatsiana Maksimuk,Aggression;Villainy,,,2,False,,10.99,https://cdn.swu-db.com/images/cards/JTL/867.png,"When indirect damage is dealt to a unit: You may defeat a non-unique upgrade on it.
On Attack: If you have the initiative, deal 2 indirect damage to a player.",3,,2.48,,2.63,Allegiant General Pryde,867,2,Rare,JTL,Ruthless and Loyal,FIRST ORDER;OFFICIAL,Unit,True,Hyperspace Foil
JTL-197,Ground,Tatsiana Maksimuk,Cunning;Heroism,,,2,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/197.png,"Piloting [C=2 Cunning Heroism] (You may play this as an upgrade on a friendly Vehicle without a Pilot.) 
When attached unit completes an attack (and survives): You may return this upgrade to its owner's hand.",3,Piloting,,0.03,0.13,Anakin Skywalker,197,2,Uncommon,JTL,I'll Try Spinning,FORCE;FRINGE;PILOT,Unit,True,Normal
JTL-459,Ground,Tatsiana Maksimuk,Cunning;Heroism,,,2,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/459.png,"Piloting [C=2 Cunning Heroism] (You may play this as an upgrade on a friendly Vehicle without a Pilot.) 
When attached unit completes an attack (and survives): You may return this upgrade to its owner's hand.",3,Piloting,,0.14,0.30,Anakin Skywalker,459,2,Uncommon,JTL,I'll Try Spinning,FORCE;FRINGE;PILOT,Unit,True,Hyperspace
JTL-695,Ground,Tatsiana Maksimuk,Cunning;Heroism,,,2,False,,3.96,https://cdn.swu-db.com/images/cards/JTL/695.png,"Piloting [C=2 Cunning Heroism] (You may play this as an upgrade on a friendly Vehicle without a Pilot.) 
When attached unit completes an attack (and survives): You may return this upgrade to its owner's hand.",3,Piloting,0.08,,0.12,Anakin Skywalker,695,2,Uncommon,JTL,I'll Try Spinning,FORCE;FRINGE;PILOT,Unit,True,Foil
JTL-931,Ground,Tatsiana Maksimuk,Cunning;Heroism,,,2,False,,9.94,https://cdn.swu-db.com/images/cards/JTL/931.png,"Piloting [C=2 Cunning Heroism] (You may play this as an upgrade on a friendly Vehicle without a Pilot.) 
When attached unit completes an attack (and survives): You may return this upgrade to its owner's hand.",3,Piloting,0.24,,0.50,Anakin Skywalker,931,2,Uncommon,JTL,I'll Try Spinning,FORCE;FRINGE;PILOT,Unit,True,Hyperspace Foil
JTL-041,Space,Marko Fiedler,Vigilance;Villainy,,,11,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/041.png,"When Played/When Defeated: You may defeat an enemy unit. If you do, search its controller's deck and hand for each card with that unit's name and discard them. (They shuffle their deck.)",12,,,1.47,2.33,Annihilator,041,12,Legendary,JTL,Tagge's Flagship,IMPERIAL;VEHICLE;CAPITAL SHIP,Unit,True,Normal
JTL-1018,Space,Marko Fiedler,Vigilance;Villainy,,,11,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/1018.png,"When Played/When Defeated: You may defeat an enemy unit. If you do, search its controller's deck and hand for each card with that unit's name and discard them. (They shuffle their deck.)",12,,,4.55,5.68,Annihilator,1018,12,Legendary,JTL,Tagge's Flagship,IMPERIAL;VEHICLE;CAPITAL SHIP,Unit,True,Prestige
JTL-1054,Space,Marko Fiedler,Vigilance;Villainy,,,11,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/1054.png,"When Played/When Defeated: You may defeat an enemy unit. If you do, search its controller's deck and hand for each card with that unit's name and discard them. (They shuffle their deck.)",12,,6.49,,10.18,Annihilator,1054,12,Legendary,JTL,Tagge's Flagship,IMPERIAL;VEHICLE;CAPITAL SHIP,Unit,True,Prestige Foil
JTL-1090,Space,Marko Fiedler,Vigilance;Villainy,,,11,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/1090.png,"When Played/When Defeated: You may defeat an enemy unit. If you do, search its controller's deck and hand for each card with that unit's name and discard them. (They shuffle their deck.)",12,,469.99,,584.99,Annihilator,1090,12,Legendary,JTL,Tagge's Flagship,IMPERIAL;VEHICLE;CAPITAL SHIP,Unit,True,Prestige Serialized
JTL-303,Space,Marko Fiedler,Vigilance;Villainy,,,11,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/303.png,"When Played/When Defeated: You may defeat an enemy unit. If you do, search its controller's deck and hand for each card with that unit's name and discard them. (They shuffle their deck.)",12,,,1.40,1.65,Annihilator,303,12,Legendary,JTL,Tagge's Flagship,IMPERIAL;VEHICLE;CAPITAL SHIP,Unit,True,Hyperspace
JTL-539,Space,Marko Fiedler,Vigilance;Villainy,,,11,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/539.png,"When Played/When Defeated: You may defeat an enemy unit. If you do, search its controller's deck and hand for each card with that unit's name and discard them. (They shuffle their deck.)",12,,1.42,,1.53,Annihilator,539,12,Legendary,JTL,Tagge's Flagship,IMPERIAL;VEHICLE;CAPITAL SHIP,Unit,True,Foil
JTL-775,Space,Marko Fiedler,Vigilance;Villainy,,,11,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/775.png,"When Played/When Defeated: You may defeat an enemy unit. If you do, search its controller's deck and hand for each card with that unit's name and discard them. (They shuffle their deck.)",12,,2.81,,3.78,Annihilator,775,12,Legendary,JTL,Tagge's Flagship,IMPERIAL;VEHICLE;CAPITAL SHIP,Unit,True,Hyperspace Foil
JTL-091,,Ario Murti,Command;Villainy,,,1,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/091.png,Defeat a friendly unit. You may give 2 Experience tokens to a unit.,,,,0.05,0.12,Apology Accepted,091,,Uncommon,JTL,,TACTIC,Event,False,Normal
JTL-353,,Ario Murti,Command;Villainy,,,1,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/353.png,Defeat a friendly unit. You may give 2 Experience tokens to a unit.,,,,0.10,0.28,Apology Accepted,353,,Uncommon,JTL,,TACTIC,Event,False,Hyperspace
JTL-589,,Ario Murti,Command;Villainy,,,1,False,,5.00,https://cdn.swu-db.com/images/cards/JTL/589.png,Defeat a friendly unit. You may give 2 Experience tokens to a unit.,,,0.09,,0.16,Apology Accepted,589,,Uncommon,JTL,,TACTIC,Event,False,Foil
JTL-825,,Ario Murti,Command;Villainy,,,1,False,,9.95,https://cdn.swu-db.com/images/cards/JTL/825.png,Defeat a friendly unit. You may give 2 Experience tokens to a unit.,,,0.40,,0.65,Apology Accepted,825,,Uncommon,JTL,,TACTIC,Event,False,Hyperspace Foil
JTL-001,Ground,Guillaume Ospital,Vigilance;Villainy,https://cdn.swu-db.com/images/cards/JTL/001-b.png,"Grit
Attached unit is a leader unit. It gains Grit and: ""On Attack: You may deal 1 damage to a friendly unit. If you do, deal 1 damage to an enemy unit in the same arena.""",6,True,"Epic Action: If you control 6 or more resources, choose one:
Deploy this leader.
Deploy this leader as an upgrade on a friendly Vehicle unit without a Pilot on it.",,https://cdn.swu-db.com/images/cards/JTL/001.png,"Action [Exhaust]: Deal 1 damage to a friendly unit. If you do, deal 1 damage to an enemy unit in the same arena.",6,Grit,,0.01,0.15,Asajj Ventress,001,4,Rare,JTL,I Work Alone,FORCE;NIGHT;BOUNTY HUNTER;PILOT,Leader,True,Normal
JTL-263,Ground,Guillaume Ospital,Vigilance;Villainy,https://cdn.swu-db.com/images/cards/JTL/263-b.png,"Grit
Attached unit is a leader unit. It gains Grit and: ""On Attack: You may deal 1 damage to a friendly unit. If you do, deal 1 damage to an enemy unit in the same arena.""",6,True,"Epic Action: If you control 6 or more resources, choose one:
Deploy this leader.
Deploy this leader as an upgrade on a friendly Vehicle unit without a Pilot on it.",,https://cdn.swu-db.com/images/cards/JTL/263.png,"Action [Exhaust]: Deal 1 damage to a friendly unit. If you do, deal 1 damage to an enemy unit in the same arena.",6,Grit,,0.19,0.33,Asajj Ventress,263,4,Rare,JTL,I Work Alone,FORCE;NIGHT;BOUNTY HUNTER;PILOT,Leader,True,Hyperspace
JTL-997,Ground,Guillaume Ospital,Vigilance;Villainy,https://cdn.swu-db.com/images/cards/JTL/997-b.png,"Grit
Attached unit is a leader unit. It gains Grit and: ""On Attack: You may deal 1 damage to a friendly unit. If you do, deal 1 damage to an enemy unit in the same arena.""",6,True,"Epic Action: If you control 6 or more resources, choose one:
Deploy this leader.
Deploy this leader as an upgrade on a friendly Vehicle unit without a Pilot on it.",,https://cdn.swu-db.com/images/cards/JTL/997.png,"Action [Exhaust]: Deal 1 damage to a friendly unit. If you do, deal 1 damage to an enemy unit in the same arena.",6,Grit,,47.99,54.91,Asajj Ventress,997,4,Rare,JTL,I Work Alone,FORCE;NIGHT;BOUNTY HUNTER;PILOT,Leader,True,Showcase
JTL-057,Ground,Arthur Mougne,Vigilance,,,1,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/057.png,"Piloting [C=2 Vigilance] (You may play this as an upgrade on a friendly Vehicle without a Pilot.)
When played as an upgrade: You may heal 2 damage from a unit.",3,Piloting,,0.05,0.12,Astromech Pilot,057,1,Uncommon,JTL,,DROID;PILOT,Unit,False,Normal
JTL-319,Ground,Arthur Mougne,Vigilance,,,1,False,,0.00,https://cdn.swu-db.com/images/cards/JTL/319.png,"Piloting [C=2 Vigilance] (You may play this as an upgrade on a friendly Vehicle without a Pilot.)
When played as an upgrade: You may heal 2 damage from a unit.",3,Piloting,,0.10,0.19,Astromech Pilot,319,1,Uncommon,JTL,,DROID;PILOT,Unit,False,Hyperspace
JTL-555,Ground,Arthur Mougne,Vigilance,,,1,False,,0.79,https://cdn.swu-db.com/images/cards/JTL/555.png,"Piloting [C=2 Vigilance] (You may play this as an upgrade on a friendly Vehicle without a Pilot.)
When played as an upgrade: You may heal 2 damage from a unit.",3,Piloting,0.04,,0.15,Astromech Pilot,555,1,Uncommon,JTL,,DROID;PILOT,Unit,False,Foil
JTL-791,Ground,Arthur Mougne,Vigilance,,,1,False,,9.94,https://cdn.swu-db.com/images/cards/JTL/791.png,"Piloting [C=2 Vigilance] (You may play this as an upgrade on a friendly Vehicle without a Pilot.)
When played as an upgrade: You may heal 2 damage from a unit.",3,Piloting,0.18,,0.61,Astromech Pilot,791,1,Uncommon,JTL,,DROID;PILOT,Unit,False,Hyperspace Foil
